video_id,title
custom0,Greenlanders protest Trump's Greenland annexation threat
vs_10,"Man runs onto road, car swerves"
vs_1000,Woman speaks to reporter outside glass shattered
vs_1001,Two boys playfully wrestle on staircase
vs_1002,Fashion Show: Models Display Traditional Attire
vs_1007,"Man struggles with backpack, falls into ice, others assist."
vs_1008,Water dispenser filling glass in refrigerator.
vs_1009,"Man falls from tree, lands on ground"
vs_1011,$100 OFF YOUR PURCHASE
vs_1013,Bikini-claded dancers perform at crowd cheers
vs_1014,Dogs playfully chase and catch toy indoors.
vs_1018,The video shows a hand holding a small green toy frog against a plain backdrop.
vs_102,Puppy chases toy through grass
vs_1020,Person makes snow angel in parking lot at night.
vs_1023,Jeep race
vs_10269,Bruce Springsteen Endorses Obama for Re-election
vs_1028,Reckless Driver Pursuit Ends in Crash
vs_1030,Man operates antique tractor at fairground
vs_1032,Texas mother accused of eating her 3-week-old son
vs_1033,Kid Attempts Backflip on Trampoline...FAIL!!!
vs_1038,Man trips and falls while skateboarding
vs_1039,Cat jumps off roof.
vs_104,Black truck being towed by red pickup
vs_1040,Young thugs set fire to scrap car in public protest.
vs_1041,Man jumps into river from bridge
vs_1042,Replacing bicycle brake pads with LED lights
vs_1044,Woman rides bike with dog attached to rear
vs_1045,"Player trades for shotgun, kills enemy, collects money."
vs_1046,Dog dressed as pirate runs through grass field
vs_1047,20Pit Stop Challenge Tire Change Demonstration
vs_1049,Ambulance arrives at Panera Bread store
vs_105,Dog investigates refrigerator door handle
vs_1051,Baby Shower Water Bottle Labels Showcase
vs_1053,Mechanic changes tire on motorcycle
vs_1054,Man jumps off wall indoors
vs_1055,Fitness for Living Valentine's Couples Boot Camp Class Feb 2011
vs_1058,Basketball into chair hits basket
vs_1059,Man sprays roof with white substance
vs_106,Ex Recovery System: Get Your Ex Back Guaranteed
vs_1061,Talking Tom Cat wishes Joyce a happy birthday.
vs_1063,Automobile Technician Explainsng Car Maintenance Tips
vs_1065,Player losing match in multiplayer game.
vs_1066,Girls 100 Meter Run Middle School
vs_10664,Mark's Master Service discusses wood floor installation and refinishing services.
vs_1069,Car drives erraticallyently on highway at night
vs_1076,Man cleans running board of red truck using firehouse car wash
vs_1077,Man attacks police officer inside bank
vs_1079,Children blow out birthday candles together
vs_1080,Interviewer: Soccer Player Discusses Game Experience
vs_1081,Police car drives through city street during protest
vs_10813,Model showcases Roxy Flip Side Sea Salt Hipster Bottoms
vs_10820,Visa Debit: Women's Education Initiative
vs_1085,Replacing the motor mixer motor motor
vs_1087,Firefighters rescue trapped individuals during a building fire.
vs_1089,Woman in red hat speaks to man in suit
vs_1091,Deadly Wreck on Howard Dr in Greenville County
vs_1092,Stunning Bridal Jewelry Sets with Discounts
vs_1093,Pickup truck jumps over obstacle during fair event
vs_1094,"Motorcycle rider loses control, crashes into curb"
vs_1097,"Red car drives away with door open, driver exits."
vs_1099,Police officer discusses office shooting investigation
vs_1100,Boy slides down water slide into splash in pool
vs_1103,Fans brave the cold at spring snow at arena
vs_1104,Diamond ring showcased in close-up shots.
vs_1105,Child plays indoor baseball game with toy bat
vs_1108,Dog and cat playfully interact on bed
vs_1109,Skate 3 Super Jump Glitch Tutorial
vs_111,Sparkling Diamond Watch Displayed
vs_1113,"Master Chief, Custom Halo AF, Army Guy"
vs_1119,"Child runs into street, nearly hit by car"
vs_112,Codiac RCMP responds to missing boy on Wheeler Blvd
vs_1120,Doug Jenkins Custom Hot Rods: Restoring a 1932 Ford
vs_1121,Woman clingsings to Jeep hood while speeding on I-85
vs_1126,Jeep flips over sand dune jump
vs_1128,Toy business profitability calculation in a mall
vs_113,Single Front Flip Right Hand
vs_1131,"Drift car spins out of control, creating smoke cloud"
vs_1137,Train arrives at platform in New York City
vs_1139,Track athlete celebrates after successful jump.
vs_114,World's Largest Beach Ball
vs_1140,A Big Dog Uses The Heavy Duty Dog Door
vs_1146,18k Princess Cut Diamond Halo Engagement Ring Showcase
vs_11466,Belly Dancer Demonstrates Basic Moves
vs_1148,Student Struck in Amherst by Passing Car
vs_1150,Pickup truck drives through mud pit during fairground event
vs_1151,Motorcycle bomb attack kills 12 in Afghanistan
vs_1154,Custom Two-Bottom Steel Wheel Plow Demonstration
vs_1156,"45 ACP bullet hits AR500 steel target, 80x slowed down"
vs_1158,Custom Diamond Letter Pendant Display
vs_116,Three dogs playfully chase each other on leash.
vs_1160,Dyson Airblade Tap Hand Dryer System Demonstration
vs_1162,Ben and Daughter Relive Wedding Memories
vs_1163,Industrial Sewing Machine Demonstration
vs_1164,"Man performs magic trick, crowd reacts excitedly"
vs_1167,Dancer illuminated by light
vs_1170,Motorcycle follows large truck aggressively on busy street.
vs_1172,"Runner falls over hurdle, continues"
vs_1173,Man in blue bed room pranks friend.
vs_1176,Tanya Batts: Burn Belly Fat on Stationary Bike
vs_1180,Miracle Baby: Infant Declared Dead Found Alive
vs_1181,Talking Larry bird on branch
vs_1182,Abandoned tractor in forest
vs_1184,Dog performs donkey kick
vs_1186,Flowers Celebrate Birthday
vs_11882,Airplane flies low
vs_11884,Style Tips: Pairing Stripes with Army Cargo Pants
vs_11886,"Man jumps from cliff into lake, creates splash"
vs_11887,Police Officer Saves Driver from Burning Car
vs_11888,Player achieves 3 Kill Streak while capturing flag in Callowayar
vs_11889,Vienna Wedding Bride Gold Plted Jewelry Necklace Earrings Set 2 Pcs.
vs_1189,Top 7 Do'ss and Don't'ss for Wedding Reception Planning
vs_11892,Interior Design Showcase: Luxurious Living Spaces
vs_11893,Dune buggy race in desert
vs_11895,Fight Club: GTA Online Round 2
vs_11897,Boy pours water on friend while watching TV
vs_11899,Jeep navigating muddy trail with assistance
vs_11903,Police car chasing another vehicle on snowy road
vs_11905,Interactive Fish Toy Promotes File Fillet-o-F Fish
vs_11906,Man creates reindeer decoration from wreath
vs_11907,Dog Show Participants Walk Their Dogs
vs_11909,Motorcycle tire pressure adjustment demonstration
vs_1191,Jump Manual Overview: Achieve Maximum Vertical Jump
vs_11910,"Puppy plays with toy, jumps up repeatedly."
vs_11916,"Man climbs steep cliff edge, falls into sea below"
vs_11917,BMX rider jumps over forest obstacle course
vs_11919,Skiing down snowy mountain with friends
vs_11922,Child climbs inside refrigerator in kitchen
vs_11926,"Player engages in intense combat, eliminating multiple enemies in a-game environment."
vs_11928,Boston Police Commissioner Edward F Davis announces commendation for Glenn James
vs_11930,Woman showcases dog bone-shaped
vs_11931,34 Foot Rope Climb by Lisa Hudson
vs_11932,Woman models Dolfin Winners Bolt V-2 Back Prints One Piece swimsuit
vs_11933,Cat drinks water faucet while cooking
vs_11935,Woman holds small white dog at pet grooming convention
vs_1194,Hair stylist discusses shampooing and conditioning routine
vs_11941,Puppies playfully interact with a person's hand.
vs_11943,"White dog dances on grass, front paws up, tail wagging."
vs_11944,Adjusting the Chain T tension for efficient door
vs_11949,Little Gods's Journey Begins
vs_1195,DeLonghi Coffee Machines Showcase at Appliances Online
vs_11951,Bicycle wheel spinning indoors
vs_11952,Super Quick Dog Training Introduction
vs_11953,Army showcases new all-purpose vehicle with giant tires.
vs_11956,Child plays with toy car near window
vs_11957,Boys push toy train down track
vs_11958,Woman warns of fake iPad scam at gas station
vs_11959,Feedinging baby birds with syringe and mother bird present
vs_1196,Man bungee jumps from tower with harness
vs_11960,Child rides Razor scooter down suburban street
vs_11962,"Rocky Action Figure with ""The Meat"" Accessory"
vs_11963,Interior Design Showcase of Modern Spaces
vs_11966,Father and child playfully wrestle while watching TV.
vs_11967,Biker crashes into tree while riding
vs_11968,Replacing Dishwasher Rack Rail
vs_1197,Diamond-studded Jesus pendant showcased
vs_11970,Soccer player heads ball past goalkeeper in OT.
vs_11979,"Jeep stuck in mud, being pulled out by another vehicle."
vs_11980,Police launch criminal investigation into woman's death
vs_11985,Cat plays keyboard while child interviews bystanders
vs_11988,Woman killed trying to avoid deer
vs_11989,Spacify Dining Tables Showcase
vs_11993,San Francisco Giants Parade Celebrates World Series Victory
vs_11997,The Big Nasty Hill Climb presents The Mudslide
vs_120,Rocket Japanese Language Learning System Overview
vs_12003,Man runs towards approaching vehicle at
vs_12006,Slot cars race on illuminated track
vs_12007,Girl performs gymnastics on trampoline without spotting.
vs_12008,2 Cars Involved in Rollover Accident in East Tulsa
vs_12013,Puppy Chases Ball in Field
vs_12019,White Dodge Ram Power Wagon Spotted
vs_12024,Child sleds down homemade ramp in snowy backyard
vs_12026,BMXx rider navigatesates
vs_1203,Boy jumps through sliding glass door
vs_12030,Red toy car drives past camera on suburban street
vs_12031,"Motorcycle crashes into truck, driver escapes unharmed"
vs_12033,Cat in shark costume chchases duck on vacuum cleaner
vs_12035,Man discusses formal wear and evening gowns.
vs_12038,Children play dress-up in living room.
vs_12039,Diamond rings showcased in elegant presentation.
vs_12042,Hammocks with Unique Designs and Colors
vs_12043,Heart-shaped locket necklace showcased
vs_12044,As AS HIGH AS MANHATTAN
vs_12045,Dogs wheelchair helps disabled dog walk again
vs_12047,White Ford F-250 lifted truck showcased
vs_12048,"Woman trapped in car driving through high water, police warn: Turn around, don drown."
vs_1205,Installing AutoSock tire cover for winter safety
vs_12053,American Girl Doll Craft Kit Review
vs_12058,Pedestrians cross street as cars pass by in city traffic
vs_1206,Georgia State University Marching Band Performs at Inauguration
vs_12060,Stream over through fallen tree in forest
vs_12063,Replacing tire rim with new tire
vs_12065,Peanut Butter Jelly Time Pixel Dance
vs_12066,Jacking up the rear of the vehicle for maintenance.
vs_12067,Red muscle car accelerates down drag strip
vs_1207,Police: Man puts puppy in dishwasher
vs_12070,Teddy the Bear in Reindeer Antlers and Lights-Up Christmas Hat
vs_12071,Mouse eats chocolate bar on sidewalk
vs_12072,Woman in polka dot dress dances in kitchen while man watches
vs_12074,"Motorcycle accident on highway, rescue underway"
vs_12079,Group climbs indoor rock wall together
vs_1208,Cooking Nathan's Hot Dogs in a Pot
vs_12082,Tow truck driver Michael Galloway leaves children unattended.
vs_12085,Girl falls off while riding mechanical bull
vs_12088,Man climbs steep wooden wall with safety harness.
vs_1209,Creating a a small hole in a bottle.
vs_12090,Fan catches ball
vs_12095,Skateboarderer falls off ramp
vs_12097,Motorcycle rider pulls over to assist fallen biker
vs_12098,Dad's reaction on the amusement park ride surprises him.
vs_12099,Spider-Man swings through city streets
vs_121,Man falls off cliff edge into sand
vs_1210,Footprints lead towards helicopter on beach.
vs_12100,Paper production machine in operation
vs_12101,Person uses safety pin on inflatable bouncer.
vs_12102,Factory machinery operating in motion
vs_12103,Rabbit dances in front of papar press cameras.
vs_12105,Spider-Man in wheelchair meets another Spider-Man
vs_12106,Pregnant Woman Shot Near Blake High School
vs_12108,Friends Remember Dirt Biker Killed in Crash
vs_1211,Call the Experts - Contact Metroflow Today!
vs_12110,White fluffy dog plays with smaller dog in fenced yard.
vs_12113,"Person searches through closet, finds bra, reacts with surprise."
vs_12114,Sistersers get 1 Million Facebook Likes for a Puppy dog Parents agree to
vs_12116,Removing a laundry tub faucet using basin wrench
vs_1212,Car crashes into gas pump 
vs_12121,Tommy learns to swim in Vice City
vs_12126,ATV riders navigate muddy terrain and cross through shallow rivers.
vs_12127,Woman models colorful bikini bottoms
vs_12128,Dizzy's Agility Showdown at Crufts 200
vs_12129,Boy practicing flips in gym
vs_12133,Child dressed as zombie in store
vs_12135,Woman discusses Halloween safety tips for trick-or-treating.
vs_12136,"Spider-Man, Iron Man, Venom & Batman Battle in 'Get Loose With It' Gameplay"
vs_12138,Dogs Playing Fetch in a Park
vs_12140,Police officer engages suspect with gunfire outside
vs_12143,Parrots fight over food bowl
vs_12145,Valley View Casino & Hotel: Chef's Signature Desserts
vs_12148,Football game preparation begins at night
vs_12150,Bus driver narrowly avoids collision with double-decker bus in rainstorm
vs_12153,"Man chases car, gets hit by truck, runs away."
vs_12154,Britain's men's team pursuit breaks world world world the Olympics.
vs_12156,French Bulldog playfully interacts with camera
vs_12158,Bear destroys Florida woman's car in bizarre attack
vs_12159,White Men Can't Jump
vs_1216,Skateboarder fails on railing at night
vs_12161,"Woman falls on subway tracks, passengers intervene, train arrives in time."
vs_12162,Woman fills Easter basket with colorful items and toys
vs_12167,Man falls into pool while trying to jump over fail
vs_12169,Woman washes dog in grooming
vs_12171,Boys singing karaoke in dimly lit room
vs_12172,Woman models casual outfit against white backdrop
vs_12173,Bear curss in forest
vs_12175,Dogs swimming and playingfully interacting in muddy river with owners watching
vs_12176,Student Town Hall Meeting: MCPS Students Voice Opinions
vs_12178,Dogs on leads at all times timess
vs_12179,Air suspension demonstration showcase.
vs_12180,Biker rides bicycle on grass and onto street
vs_12182,Baby in activity center laughing and playingfully interacting
vs_12183,Fire burns in stone fire pit
vs_12185,WARE 2 Level Medium Clean Living Small Animal Cage
vs_12188,James introduces Johnson's Java Wood Flooring
vs_1219,Massive fire engulfs neighborhood at night
vs_12192,New details about SUV in hit & run crash
vs_12194,Golden Retriever fetches toy in pool
vs_12195,Man throws shovel through ice block
vs_12196,"Baby plays with toy hammer, hits wall."
vs_12200,I-44 Semi Accident Causes Traffic Shutdown
vs_12201,WOM Groutut Cleaning Jupiter
vs_12206,Car flips into crowd watches
vs_12207,Woman trains dog to sit and stay in a room.
vs_12208,BMX rider performs aerial trick on ramp
vs_12209,Interior Design Showcase of Modern Spaces
vs_1221,Jeep climbs steep rocky trail with spectators
vs_12210,Dog plays with water sprinkler system
vs_12211,Automated Truck Cleaning System Demonstration
vs_12212,Race car speeds down track at night with crowd watching
vs_12213,Person throws ball for dog in living room.
vs_12214,Happy Fatdog Eating
vs_12215,Man eats apple pie in store
vs_12217,Man in car talks about seatbelt safety
vs_12218,Introduction to Leather Craft: Punching Holes
vs_12219,Vehicle drives through forest with windshield covered in bird droppings
vs_1222,Floor Barn Presents: Installing Hardwood Flooring
vs_12222,Man jumps over over a car in yard
vs_12223,Three men fight outside each other outside
vs_12224,Motorcycle overtakes silver car on highway
vs_12225,Holiday Pet Safety Tips on TV Show
vs_12228,"Man sits on chair, adjusts pants, people walks by."
vs_12229,Car drives through snowy street at night
vs_1223,Volunteers place American flags along a fence.
vs_12237,"Driver loses control, pickup crashes into creek, deputies respond."
vs_12240,Check Engine Light Diagnosis Guide
vs_12241,Harry Potter and the Chamber of Secrets
vs_12243,Quarterback evades defenders for touchdown
vs_12249,First-person shooter gameplay with zombie encounters.
vs_12250,Cat leaps into catch fish in river
vs_12251,Children playing in water park fountain
vs_12255,Man in yellow jacket rides bike past group of people.
vs_12256,Painter sprays door frame with spray gun
vs_12257,3D rendering of floating solar panels on water
vs_12258,Person adjusts scooter handlebar grip
vs_1226,Woman laughing and making funny faces
vs_12260,Man plays fris dog in room
vs_12261,Bottling machine filling white containers
vs_12262,Snow leopards share a meaty meal
vs_12265,"ATV stuck in mud, group pulls it out"
vs_12266,Ceiling-mounted laundry rack installation demonstration
vs_12269,Dondere Thomas's 7-inch Vertical Jump Gain with Project Vertical
vs_12272,RC cars race on dirt track
vs_12273,Gymnastics Showcase
vs_12274,Chef Henry creates a custom pizza app
vs_12275,Dogs perform agility tricks indoors
vs_12276,Applying cream and bandaging for wound care
vs_12279,Child falls off scooter on sidewalk
vs_12280,Dogs playfully fight in fenced yard
vs_12281,How How How How `How `
vs_12282,Dog jumps through door of
vs_12283,Man jumps off waterfall into river below
vs_12284,Super Bowl XLVI Fans Celebrate Giants Win
vs_12285,Dog chases cat around living room floor
vs_12287,Dog chases person down snowy slope
